#Date,Account,Amount
-,Expenditures:Dining,-4.99
2019.05.08,1. Family Checking,-23.35
-,Expenditures:Groceries,-23.35
2019.06.27,1. Family Checking,29
-,3. Antonio Checking,29
2019.10.31,1. Family Checking,-1.81
-,Expenditures:Groceries,-1.81
2019.10.05,1. Family Checking,-11.49
-,Expenditures:Dining,-11.49
2019.01.21,1. Family Checking,-1.5
-,Automotive:Service: Bethaney,-1.5
2019.10.05,1. Family Checking,-18.24
-,Automotive:Fuel: Nick,-18.24
2019.08.19,1. Family Checking,13.68
-,Income:Returns,13.68
2019.09.17,1. Family Checking,-4.24
-,Expenditures:Groceries,-4.24
2019.11.09,1. Family Checking,-10.68
-,Expenditures:Dining,-10.68
2019.02.11,1. Family Checking,-40.03
-,Expenditures:Dining,-40.03
2019.09.17,1. Family Checking,-20.15
-,Automotive:Fuel: Nick,-20.15
2019.06.07,1. Family Checking,-20.14
-,Automotive:Fuel: Nick,-20.14
2019.06.03,1. Family Checking,-16.97
-,Expenditures:General Merchandise,-16.97
2019.11.13,1. Family Checking,12.37
-,Income:Returns,12.37
2019.12.12,1. Family Checking,-3.95
-,Expenditures:Dining,-3.95
2019.06.13,1. Family Checking,-44.99
-,Bills:Cable,-44.99
2019.08.22,1. Family Checking,-18.79
-,Automotive:Fuel: Nick,-18.79
2019.06.22,1. Family Checking,-2.28
-,Expenditures:Entertainment,-2.28
2019.02.26,1. Family Checking,-10
-,Expenditures:ATM Withdrawal,-10
2019.02.24,1. Family Checking,-26.28
-,Expenditures:General Merchandise,-26.28
2019.12.03,1. Family Checking,-25.25
-,Expenditures:General Merchandise,-25.25
2019.11.15,1. Family Checking,-76.9
-,Expenditures:Pet Care,-76.9
2019.05.31,1. Family Checking,-97.67
2019.10.17,1. Family Checking,15.89
-,Expenditures:General Merchandise,15.89
2019.05.15,1. Family Checking,3347.24
-,2. Family Savings,3347.24
2019.04.06,1. Family Checking,-33.14
-,Expenditures:Dining,-33.14
2019.10.19,1. Family Checking,-3.06
-,Expenditures:Dining,-3.06
2019.11.01,1. Family Checking,-400
-,1. USAA Visa Credit Card,-400
2019.09.27,1. Family Checking,-153.64
-,Bills:Cable,-153.64
2019.02.12,1. Family Checking,17.89
-,Income:Returns,17.89
2019.06.15,1. Family Checking,-37.25
-,Expenditures:General Merchandise,-37.25
2019.04.07,1. Family Checking,-1.29
-,Expenditures:Entertainment,-1.29
2019.09.07,1. Family Checking,-9.95
-,Expenditures:Home Improvement,-9.95
2019.09.02,1. Family Checking,-74.78
-,Expenditures:Pet Care,-74.78
2019.07.14,1. Family Checking,-44.45
-,Expenditures:Groceries,-44.45
2019.09.18,1. Family Checking,-17.68
-,Expenditures:General Merchandise,-17.68
2019.11.20,1. Family Checking,-18.4
-,Expenditures:General Merchandise,-18.4
2019.01.25,1. Family Checking,-7.79
-,Work:Non-Reimbursed Expense,-7.79
2019.04.07,1. Family Checking,-27.03
-,Automotive:Fuel: Bethaney,-27.03
2019.04.15,1. Family Checking,-18.42
-,Expenditures:General Merchandise,-18.42
2019.01.10,1. Family Checking,-20.16
-,Automotive:Fuel: Nick,-20.16
2019.07.05,1. Family Checking,-66.75
-,Expenditures:General Merchandise,-66.75
2019.08.30,1. Family Checking,-21.05
-,Expenditures:General Merchandise,-21.05
2019.10.27,1. Family Checking,-13.4
-,Expenditures:Dining,-13.4
2019.09.21,1. Family Checking,-500
-,1. USAA Visa Credit Card,-500
2019.07.15,1. Family Checking,-21.12
-,Automotive:Fuel: Nick,-21.12
2019.04.15,1. Family Checking,-25.79
-,Expenditures:General Merchandise,-25.79
2019.07.11,1. Family Checking,-20.02
-,Automotive:Fuel: Nick,-20.02
2019.12.08,1. Family Checking,-22.25
-,Expenditures:General Merchandise,-22.25
2019.02.06,1. Family Checking,-115
-,8. Vacation Fund,-115
2019.06.28,1. Family Checking,-0.99
-,Expenditures:General Merchandise,-0.99
2019.03.10,1. Family Checking,-28.55
-,Automotive:Fuel: Bethaney,-28.55
2019.10.21,1. Family Checking,-2.32
-,Expenditures:Dining,-2.32
2019.12.02,1. Family Checking,300
-,8. Vacation Fund,300
2019.04.25,1. Family Checking,10.4
-,Income:Returns,10.4
2019.10.18,1. Family Checking,-23.3
-,Expenditures:General Merchandise,-23.3
2019.01.18,1. Family Checking,-19.67
-,Expenditures:Dining,-19.67
2019.08.16,1. Family Checking,-22
-,Expenditures:Dining,-22
2019.01.31,1. Family Checking,-17.94
-,Expenditures:General Merchandise,-17.94
2019.03.27,1. Family Checking,-16.09
-,Automotive:Fuel: Nick,-16.09
2019.10.30,1. Family Checking,6.74
-,Income:Returns,6.74
2019.09.20,1. Family Checking,-100
-,8. Vacation Fund,-100
2019.08.04,1. Family Checking,-28.78
-,Expenditures:General Merchandise,-28.78
2019.11.03,1. Family Checking,-8
-,Expenditures:General Merchandise,-8
2019.08.04,1. Family Checking,-52.59
-,Expenditures:General Merchandise,-52.59
2019.09.19,1. Family Checking,-1.84
-,Expenditures:Entertainment,-1.84
2019.01.02,1. Family Checking,16.5
-,Income:Returns,16.5
2019.04.15,1. Family Checking,-49.64
-,Expenditures:General Merchandise,-49.64
2019.05.01,1. Family Checking,-137.86
-,Bills:Electric,-137.86
2019.08.14,1. Family Checking,-12.99
2019.04.24,1. Family Checking,-161.02
-,1. USAA Visa Credit Card,-161.02
2019.09.20,1. Family Checking,-20.18
-,Automotive:Fuel: Nick,-20.18
2019.01.18,1. Family Checking,-43
-,Expenditures:ATM Withdrawal,-43
2019.08.16,1. Family Checking,-11.45
-,Expenditures:General Merchandise,-11.45
2019.05.18,1. Family Checking,-6.45
-,Expenditures:General Merchandise,-6.45
2019.08.28,1. Family Checking,-963.2
-,1. USAA Visa Credit Card,-963.2
2019.10.08,1. Family Checking,-1.29
-,Expenditures:General Merchandise,-1.29
2019.02.15,1. Family Checking,-37
-,Expenditures:General Merchandise,-37
2019.03.15,1. Family Checking,-124.57
-,Expenditures:Groceries,-124.57
2019.03.13,1. Family Checking,-53.98
-,Bills:Cable,-53.98
2019.12.01,1. Family Checking,-21.78
-,Automotive:Fuel: Nick,-21.78
2019.06.06,1. Family Checking,-4.54
-,Expenditures:General Merchandise,-4.54
2019.11.29,1. Family Checking,-1200
-,7. Bethaney Savings,-1200
2019.05.21,1. Family Checking,-35.96
-,Expenditures:Groceries,-35.96
2019.12.16,1. Family Checking,-43.85
-,Expenditures:General Merchandise,-43.85
2019.04.10,1. Family Checking,-20.59
-,Automotive:Fuel: Nick,-20.59
2019.03.09,1. Family Checking,-20.27
-,Automotive:Fuel: Nick,-20.27
2019.10.10,1. Family Checking,-5
-,Expenditures:ATM Withdrawal,-5
2019.12.17,1. Family Checking,-20.18
-,Automotive:Fuel: Nick,-20.18
2019.10.31,1. Family Checking,-25.33
-,Expenditures:Groceries,-25.33
2019.07.25,1. Family Checking,3877.69
-,Income:Paycheck,3877.69
2019.02.26,1. Family Checking,-8.49
-,Expenditures:General Merchandise,-8.49
2019.06.26,1. Family Checking,-1.02
-,Expenditures:General Merchandise,-1.02
2019.12.16,1. Family Checking,-500
-,1. USAA Visa Credit Card,-500
2019.06.11,1. Family Checking,-6.75
-,Expenditures:General Merchandise,-6.75
2019.06.28,1. Family Checking,-3.18
-,Expenditures:Dining,-3.18
2019.06.27,1. Family Checking,-19.14
-,Automotive:Service: Nick,-19.14
2019.08.26,1. Family Checking,-4.09
-,Expenditures:General Merchandise,-4.09
2019.06.05,1. Family Checking,22.04
-,Income:Returns,22.04
2019.06.05,1. Family Checking,-35.67
-,Expenditures:Groceries,-35.67
2019.03.19,1. Family Checking,-28.5
-,Expenditures:Pet Care,-28.5
2019.09.29,1. Family Checking,-12.1
-,Expenditures:General Merchandise,-12.1
2019.03.20,1. Family Checking,-17.87
-,Expenditures:General Merchandise,-17.87
2019.10.31,1. Family Checking,-8.41
-,Expenditures:Groceries,-8.41
2019.04.12,1. Family Checking,-500
-,1. USAA Visa Credit Card,-500
2019.08.14,1. Family Checking,21.46
-,Income:Paycheck,21.46
2019.06.16,1. Family Checking,-10.52
-,Expenditures:General Merchandise,-10.52
2019.02.11,1. Family Checking,-14.29
-,Expenditures:General Merchandise,-14.29
2019.10.25,1. Family Checking,-22.73
-,Expenditures:Dining,-22.73
2019.06.10,1. Family Checking,21.02
-,Income:Returns,21.02
2019.09.30,1. Family Checking,-9.37
-,Expenditures:General Merchandise,-9.37
2019.11.24,1. Family Checking,-84.91
-,Expenditures:Groceries,-84.91
2019.09.30,1. Family Checking,-18.95
-,Expenditures:General Merchandise,-18.95
2019.07.16,1. Family Checking,-25.04
-,Automotive:Fuel: Bethaney,-25.04
2019.01.30,1. Family Checking,-7.34
-,Expenditures:General Merchandise,-7.34
2019.05.16,1. Family Checking,-3.31
-,Expenditures:Dining,-3.31
2019.05.25,1. Family Checking,-211.01
-,Expenditures:Groceries,-211.01
2019.07.01,1. Family Checking,-25.51
-,Automotive:Service: Bethaney,-25.51
2019.07.02,1. Family Checking,-26.33
-,Expenditures:General Merchandise,-26.33
2019.01.18,1. Family Checking,-26.11
-,Expenditures:Groceries,-26.11
2019.12.24,1. Family Checking,-23
-,Expenditures:ATM Withdrawal,-23
2019.02.19,1. Family Checking,-15.11
-,Automotive:Fuel: Nick,-15.11
2019.09.15,1. Family Checking,-5.57
-,Expenditures:Dining,-5.57
2019.07.02,1. Family Checking,-10
-,Expenditures:Entertainment,-10
2019.12.22,1. Family Checking,-20.44
-,Expenditures:General Merchandise,-20.44
2019.07.28,1. Family Checking,-50.15
-,Expenditures:Pet Care,-50.15
2019.02.03,1. Family Checking,-25
-,3. Antonio Checking,-25
2019.06.07,1. Family Checking,-118.77
-,Expenditures:Groceries,-118.77
2019.06.11,1. Family Checking,-19.98
-,Automotive:Fuel: Nick,-19.98
2019.07.09,1. Family Checking,14.92
-,Income:Returns,14.92
2019.05.10,1. Family Checking,-100
-,Expenditures:Home Improvement,-100
2019.08.27,1. Family Checking,19.88
-,Expenditures:General Merchandise,19.88
2019.08.22,1. Family Checking,-25.75
-,Automotive:Fuel: Bethaney,-25.75
2019.12.26,1. Family Checking,-800
-,1. USAA Visa Credit Card,-800
2019.08.06,1. Family Checking,-115
2019.02.28,1. Family Checking,-65.62
-,Expenditures:General Merchandise,-65.62
2019.02.21,1. Family Checking,-13.26
-,Expenditures:General Merchandise,-13.26
2019.02.19,1. Family Checking,-37.99
-,Expenditures:Groceries,-37.99
2019.12.22,1. Family Checking,-8.99
-,Expenditures:General Merchandise,-8.99
2019.09.01,1. Family Checking,-29.45
-,Expenditures:Groceries,-29.45
2019.11.14,1. Family Checking,3877.69
2019.02.21,1. Family Checking,11.02
-,Income:Paycheck,11.02
2019.02.21,1. Family Checking,3353.4
-,Income:Paycheck,3353.4
2019.05.05,1. Family Checking,-26.7
-,Automotive:Fuel: Nick,-26.7
2019.03.03,1. Family Checking,-5.4
-,Expenditures:Dining,-5.4
2019.08.26,1. Family Checking,-21.66
-,Expenditures:Home Improvement,-21.66
2019.12.07,1. Family Checking,-8.9
-,Expenditures:Dining,-8.9
2019.06.24,1. Family Checking,-1.46
-,Expenditures:Dining,-1.46
2019.04.20,1. Family Checking,-83.89
-,Expenditures:Home Improvement,-83.89
2019.12.05,1. Family Checking,-115
2019.09.20,1. Family Checking,-3.78
-,Expenditures:Dining,-3.78
2019.11.15,1. Family Checking,-131.47
-,Automotive:Service: Nick,-131.47
2019.04.13,1. Family Checking,-114.22
-,Expenditures:Groceries,-114.22
2019.07.18,1. Family Checking,-6.14
-,Expenditures:General Merchandise,-6.14
2019.01.01,1. Family Checking,-25
-,6. Isabella Savings,-25
2019.06.06,1. Family Checking,-8.38
-,Expenditures:General Merchandise,-8.38
2019.12.01,1. Family Checking,-19.3
-,Expenditures:Dining,-19.3
2019.08.10,1. Family Checking,-138.95
-,Expenditures:Groceries,-138.95
2019.12.30,1. Family Checking,-8.27
-,Expenditures:General Merchandise,-8.27
2019.08.24,1. Family Checking,-160.09
-,Expenditures:Groceries,-160.09
2019.11.02,1. Family Checking,-31.51
-,Expenditures:Pet Care,-31.51
2019.10.27,1. Family Checking,-13.69
-,Expenditures:General Merchandise,-13.69
2019.01.03,1. Family Checking,17.48
-,Income:Returns,17.48
2019.08.08,1. Family Checking,-52.53
-,Expenditures:Groceries,-52.53
2019.10.29,1. Family Checking,-74.95
-,Bills:Cable,-74.95
2019.04.16,1. Family Checking,-16.83
-,Expenditures:General Merchandise,-16.83
2019.11.18,1. Family Checking,-28.43
-,Expenditures:General Merchandise,-28.43
2019.11.07,1. Family Checking,-20.07
-,Automotive:Fuel: Nick,-20.07
2019.03.07,1. Family Checking,11.02
-,Income:Paycheck,11.02
2019.09.01,1. Family Checking,-16.04
-,Expenditures:Dining,-16.04
2019.12.14,1. Family Checking,-10.52
-,Expenditures:General Merchandise,-10.52
2019.10.19,1. Family Checking,-20.49
-,Expenditures:Dining,-20.49
2019.10.31,1. Family Checking,-97.71
-,Automotive:Insurance,-97.71
2019.09.23,1. Family Checking,-10.52
2019.05.02,1. Family Checking,-650
-,Expenditures:Home Improvement,-650
2019.10.24,1. Family Checking,-15.67
-,Expenditures:Groceries,-15.67
2019.04.20,1. Family Checking,-28.8
-,Automotive:Fuel: Bethaney,-28.8
2019.03.06,1. Family Checking,14.73
-,Income:Returns,14.73
2019.05.09,1. Family Checking,-17.5
-,Expenditures:Dining,-17.5
2019.07.25,1. Family Checking,-500
2019.05.03,1. Family Checking,-115
-,8. Vacation Fund,-115
2019.06.30,1. Family Checking,-38.54
-,Expenditures:Home Improvement,-38.54
2019.02.18,1. Family Checking,-11.36
-,Expenditures:General Merchandise,-11.36
2019.04.07,1. Family Checking,-76.46
-,Expenditures:Groceries,-76.46
2019.01.28,1. Family Checking,-11.82
-,Expenditures:General Merchandise,-11.82
2019.04.27,1. Family Checking,-21.25
-,Expenditures:Dining,-21.25
2019.10.06,1. Family Checking,-17.26
-,Expenditures:Dining,-17.26
2019.07.21,1. Family Checking,9.05
-,Income:Returns,9.05
2019.10.15,1. Family Checking,-5
2019.10.31,1. Family Checking,-2.96
-,Expenditures:Dining,-2.96
2019.08.17,1. Family Checking,-20.17
-,Automotive:Fuel: Nick,-20.17
2019.03.16,1. Family Checking,-2.11
-,Expenditures:Entertainment,-2.11
2019.08.25,1. Family Checking,-3.99
-,Expenditures:Entertainment,-3.99
2019.01.01,1. Family Checking,-25
-,4. Antonio Savings,-25
2019.01.28,1. Family Checking,-1.84
-,Expenditures:General Merchandise,-1.84
2019.09.05,1. Family Checking,-93.69
-,Bills:Water/Sewer,-93.69
2019.05.06,1. Family Checking,-10.92
-,Expenditures:Dining,-10.92
2019.06.22,1. Family Checking,-84.54
-,Expenditures:Groceries,-84.54
2019.02.21,1. Family Checking,-16.5
-,Expenditures:General Merchandise,-16.5
2019.01.21,1. Family Checking,-14.63
-,Expenditures:General Merchandise,-14.63
2019.01.05,1. Family Checking,-52.25
-,Expenditures:Groceries,-52.25
2019.12.15,1. Family Checking,-23.4
-,Automotive:Fuel: Bethaney,-23.4
2019.01.23,1. Family Checking,-1.86
-,Expenditures:Dining,-1.86
2019.09.20,1. Family Checking,-1.48
-,Expenditures:Dining,-1.48
2019.10.17,1. Family Checking,-7.94
-,Expenditures:General Merchandise,-7.94
2019.12.16,1. Family Checking,-12.9
-,Expenditures:Groceries,-12.9
2019.08.23,1. Family Checking,3877.69
2019.03.03,1. Family Checking,-68.75
-,Expenditures:Groceries,-68.75
2019.09.30,1. Family Checking,0.36
-,Income:Other Income,0.36
2019.10.13,1. Family Checking,-52.64
-,Expenditures:General Merchandise,-52.64
2019.02.05,1. Family Checking,-120.15
-,Bills:Water/Sewer,-120.15
2019.01.21,1. Family Checking,-56.92
-,Expenditures:General Merchandise,-56.92
2019.08.24,1. Family Checking,-2
-,Expenditures:Dining,-2
2019.03.04,1. Family Checking,-153.91
-,Bills:Electric,-153.91
2019.10.11,1. Family Checking,-21.3
-,Automotive:Fuel: Bethaney,-21.3
2019.03.05,1. Family Checking,-31.56
-,Expenditures:General Merchandise,-31.56
2019.12.13,1. Family Checking,-2.35
-,Expenditures:Dining,-2.35
2019.04.18,1. Family Checking,-2.65
-,Expenditures:Dining,-2.65
2019.09.20,1. Family Checking,-30
-,"Automotive:Taxes, Titling, Registration",-30
2019.02.28,1. Family Checking,-74.95
-,Bills:Cable,-74.95
2019.02.11,1. Family Checking,-5.25
-,Expenditures:Dining,-5.25
2019.03.18,1. Family Checking,-59.86
-,Expenditures:Pet Care,-59.86
2019.04.17,1. Family Checking,-25.53
-,Expenditures:General Merchandise,-25.53
2019.04.21,1. Family Checking,7.18
-,Income:Returns,7.18
2019.08.07,1. Family Checking,-1000
-,1. USAA Visa Credit Card,-1000
2019.10.19,1. Family Checking,-1.73
-,Expenditures:Groceries,-1.73
2019.04.23,1. Family Checking,-38.01
-,Expenditures:General Merchandise,-38.01
2019.08.09,1. Family Checking,3877.69
2019.02.09,1. Family Checking,-17.14
-,Automotive:Fuel: Nick,-17.14
2019.09.28,1. Family Checking,-100
-,Investments:VA 529,-100
2019.01.15,1. Family Checking,37.89
-,Income:Returns,37.89
2019.04.24,1. Family Checking,-25.05
-,Automotive:Fuel: Bethaney,-25.05
2019.07.14,1. Family Checking,-20
-,5. Isabella Checking,-20
2019.02.09,1. Family Checking,-97.21
-,Expenditures:Groceries,-97.21
2019.01.22,1. Family Checking,-9.04
-,Expenditures:General Merchandise,-9.04
2019.05.11,1. Family Checking,-108.31
-,Expenditures:Groceries,-108.31
2019.05.06,1. Family Checking,-200
-,Investments:VA 529,-200
2019.06.24,1. Family Checking,-17
-,Automotive:Fuel: Bethaney,-17
2019.07.22,1. Family Checking,-35.2
-,Expenditures:Pet Care,-35.2
2019.10.13,1. Family Checking,-7.1
-,Expenditures:General Merchandise,-7.1
2019.12.11,1. Family Checking,-22
-,Automotive:Fuel: Nick,-22
2019.10.30,1. Family Checking,-10.52
-,Expenditures:General Merchandise,-10.52
2019.12.13,1. Family Checking,-19.01
-,Automotive:Fuel: Nick,-19.01
2019.12.24,1. Family Checking,-548.99
-,Expenditures:Witholding,-548.99
2019.01.25,1. Family Checking,-815.8
-,1. USAA Visa Credit Card,-815.8
2019.09.22,1. Family Checking,-9.41
-,Expenditures:Home Improvement,-9.41
2019.04.01,1. Family Checking,-101.17
-,Automotive:Insurance,-101.17
2019.04.04,1. Family Checking,-29.93
-,Expenditures:Pet Care,-29.93
2019.02.11,1. Family Checking,-7.29
-,Expenditures:Dining,-7.29
2019.02.13,1. Family Checking,-48.98
-,Bills:Cable,-48.98
2019.02.19,1. Family Checking,-4.42
-,Expenditures:Dining,-4.42
2019.07.07,1. Family Checking,-9.1
-,Expenditures:Groceries,-9.1
2019.09.27,1. Family Checking,-165.54
-,Expenditures:Groceries,-165.54
2019.10.16,1. Family Checking,-19.12
-,Automotive:Fuel: Nick,-19.12
2019.10.15,1. Family Checking,-56
-,Expenditures:Pet Care,-56
2019.02.04,1. Family Checking,-30.64
-,Expenditures:General Merchandise,-30.64
2019.03.06,1. Family Checking,-20
-,Expenditures:ATM Withdrawal,-20
2019.03.28,1. Family Checking,-20
2019.12.20,1. Family Checking,-1.57
-,Expenditures:Dining,-1.57
2019.07.01,1. Family Checking,-34.43
-,Expenditures:General Merchandise,-34.43
2019.03.23,1. Family Checking,-11.41
-,Expenditures:General Merchandise,-11.41
2019.07.06,1. Family Checking,-200
-,1. USAA Visa Credit Card,-200
2019.02.28,1. Family Checking,-79.48
-,Expenditures:General Merchandise,-79.48
2019.08.19,1. Family Checking,-23.17
-,Expenditures:General Merchandise,-23.17
2019.02.18,1. Family Checking,-8.11
-,Expenditures:Dining,-8.11
2019.08.30,1. Family Checking,-127.77
-,Bills:Phone,-127.77
2019.04.21,1. Family Checking,-34.73
-,Expenditures:General Merchandise,-34.73
2019.10.29,1. Family Checking,1000
-,6. Isabella Savings,1000
2019.05.25,1. Family Checking,-80.87
-,Expenditures:General Merchandise,-80.87
2019.07.15,1. Family Checking,-14.18
-,Expenditures:General Merchandise,-14.18
2019.06.17,1. Family Checking,-5.99
-,Expenditures:Entertainment,-5.99
2019.01.19,1. Family Checking,-183.65
-,Expenditures:Groceries,-183.65
2019.08.08,1. Family Checking,-19.8
-,Education:Books,-19.8
2019.07.02,1. Family Checking,-8.93
-,Expenditures:Dining,-8.93
2019.05.18,1. Family Checking,-120.52
-,Expenditures:Groceries,-120.52
2019.06.27,1. Family Checking,-5.03
-,Expenditures:General Merchandise,-5.03
2019.09.03,1. Family Checking,-3.13
-,Expenditures:Dining,-3.13
2019.12.13,1. Family Checking,7.36
-,Income:Returns,7.36
2019.09.30,1. Family Checking,-113.49
-,Bills:Water/Sewer,-113.49
2019.03.19,1. Family Checking,-28.44
-,Expenditures:Dining,-28.44
2019.01.28,1. Family Checking,29.66
-,Income:Returns,29.66
2019.12.03,1. Family Checking,-4.98
-,Expenditures:Dining,-4.98
2019.07.12,1. Family Checking,-5.99
-,Expenditures:Dining,-5.99
2019.04.12,1. Family Checking,-15.65
-,Expenditures:Home Improvement,-15.65
2019.05.23,1. Family Checking,11.02
-,Income:Paycheck,11.02
2019.04.06,1. Family Checking,-126.03
-,Expenditures:Groceries,-126.03
2019.11.02,1. Family Checking,-65.14
-,Expenditures:General Merchandise,-65.14
2019.09.02,1. Family Checking,-15.58
-,Expenditures:Dining,-15.58
2019.10.14,1. Family Checking,-23.04
-,Expenditures:General Merchandise,-23.04
2019.02.11,1. Family Checking,-20
-,Expenditures:General Merchandise,-20
2019.05.24,1. Family Checking,11.02
2019.01.25,1. Family Checking,-30.94
-,Expenditures:General Merchandise,-30.94
2019.08.05,1. Family Checking,-20.95
-,Expenditures:General Merchandise,-20.95
2019.09.14,1. Family Checking,-12.99
2019.04.15,1. Family Checking,-21.16
-,Automotive:Fuel: Nick,-21.16
2019.06.13,1. Family Checking,-1.28
-,Expenditures:Dining,-1.28
2019.07.03,1. Family Checking,-26.07
-,Expenditures:Groceries,-26.07
2019.12.24,1. Family Checking,-2.46
-,Expenditures:Groceries,-2.46
2019.03.12,1. Family Checking,-20.01
-,Automotive:Fuel: Nick,-20.01
2019.07.01,1. Family Checking,-117.63
-,Bills:Phone,-117.63
2019.03.15,1. Family Checking,-13.18
-,Expenditures:Dining,-13.18
2019.11.04,1. Family Checking,-156.59
-,Bills:Electric,-156.59
2019.03.03,1. Family Checking,-16
-,Education:Fees,-16
2019.09.07,1. Family Checking,-14.18
2019.04.17,1. Family Checking,-53.98
-,Bills:Cable,-53.98
2019.01.04,1. Family Checking,-1000
-,1. USAA Visa Credit Card,-1000
2019.11.29,1. Family Checking,29.58
-,Income:Paycheck,29.58
2019.08.21,1. Family Checking,-4.09
-,Expenditures:General Merchandise,-4.09
2019.07.25,1. Family Checking,-23.01
-,Automotive:Fuel: Bethaney,-23.01
2019.02.13,1. Family Checking,-34.37
-,Expenditures:Groceries,-34.37
2019.09.12,1. Family Checking,-1.58
-,Expenditures:Dining,-1.58
2019.07.01,1. Family Checking,-100
2019.10.05,1. Family Checking,-13.49
-,Expenditures,-13.49
2019.09.17,1. Family Checking,-6.31
-,Expenditures:Dining,-6.31
